fpr,tpr,threshold
0.007800078000780008,0.0,5.110467e-06
0.0078100781007810075,0.0,5.091835e-06
0.007825078250782509,0.0,4.9838645e-06
0.007835078350783509,0.0,4.9732666e-06
0.007860078600786007,0.0,4.920186e-06
0.007885078850788508,0.0,4.6845794e-06
0.007975079750797509,0.0,4.6569357e-06
0.007980079800798009,0.0,4.6391206e-06
0.007990079900799007,0.0,4.5476445e-06
0.007995079950799507,0.0,4.5291545e-06
0.008005080050800507,0.0,4.475475e-06
0.008015080150801508,0.0,4.4272256e-06
0.008040080400804008,0.0,4.344039e-06
0.008070080700807008,0.0,4.2977476e-06
0.008075080750807508,0.0,4.2910474e-06
0.008100081000810009,0.0,4.16649e-06
0.008110081100811009,0.0,4.092634e-06
0.008120081200812009,0.0,4.076647e-06
